word,count
verkies,38
Nelly,38
boek,38
Borin,38
Klara,38
vang,37
spreek,37
Stalingrad,37
Caroline,37
foto,37
polisie,37
s,37
Germain,37
skip,37
gelyk,37
Hertog,37
ondersoek,37
opdrag,37
moeite,37
vlug,37
madam,37
veiligheid,37
ure,37
verlore,36
Johan,36
ontdek,36
hiernatoe,36
tydens,36
stadig,36
donker,36
Abbs,36
slag,36
res,36
gebore,36
melk,36
vinniger,36
onderwyser,36
Bratek,36
behalwe,36
volk,36
vryheid,36
gaste,36
mammie,36
vroeër,36
Duitsland,35
goue,35
geveg,35
sand,35
dorp,35
gesit,35
wit,35
duur,35
vergeef,35
hospitaal,35
jonk,35
boord,35
spyt,35
Vlaandere,35
even,35
asem,35
minister,35
Ruyter,35
wen,35
waarskynlik,35
belang,35
sluit,35
bedank,35
Jesus,34
meeste,34
Max,34
arm,34
Mendez,34
Alceste,34
slim,34
more,34
koud,34
eindelik,34
name,34
seer,34
bevestig,34
verdra,34
kalmeer,34
teenoor,34
gryp,34
Lisa,34
party,34
saamgaan,34
liefie,34
swak,34
stuk,34
doodgaan,34
gespeel,34
perd,34
it,34
uitvind,34
boodskap,34
wind,33
vroeg,33
naand,33
situasie,33
sersant,33
ete,33
kontak,33
Mr,33
tuin,33
aanval,33
to,33
twyfel,33
grootste,33
regkom,33
twak,33
hardloop,33
hel,33
sake,33
waarheen,33
Marianne,33
Papa,33
bou,33
bravo,33
inligting,33
Wayne,32
als,32
vreemd,32
alweer,32
idioot,32
veroorsaak,32
geheime,32
persoon,32
trein,32
eendag,32
ter,32
tas,32
rol,32
prys,32
geskiedenis,32
Russiese,32
vorentoe,32
skielik,32
moord,32
begrawe,32
verdomde,32
eenvoudig,32
hoed,32
Hongarye,32
I,32
verrassing,32
nommer,32
nader,32
voorbeeld,32
behandel,32
hotel,32
pos,31
gevaarlik,31
punt,31
Eboshi,31
tee,31
lys,31
lieflike,31
ly,31
daarin,31
weggaan,31
geslaap,31
buurt,31
geken,31
versoek,31
keuse,31
spoor,31
verkeerde,31
ongeluk,31
honger,31
mond,31
voer,31
moeilikheid,31
klim,31
Markies,31
bal,31
smeek,31
wapen,31
fees,31
leër,31
verskoning,30
neer,30
bevele,30
langer,30
groter,30
gewone,30
sekretaris,30
ware,30
gang,30
gesteel,30
Cis,30
CityLine,30
seuns,30
materiaal,30
swart,30
siel,30
brand,30
verdedig,30
krag,30
seisoen,30
mej,30
vreemde,30
diens,30
vaar,29
graf,29
regs,29
gebly,29
kasteel,29
woud,29
geraak,29
weier,29
heilige,29
afspraak,29
kunstenaars,29
vloot,29
Mikkel,29
Chopin,29
kennis,29
verbaas,29
mees,29
arms,29
Morange,29
rug,29
rondom,29
miljoen,29
moed,28
weermag,28
Aurore,28
oortuig,28
vermy,28
betrokke,28
waarmee,28
sin,28
leier,28
harte,28
bied,28
Karin,28
bespreek,28
skande,28
hiervan,28
professor,28
Pérol,28
toestand,28
teruggaan,28
kar,28
oorlede,28
lot,28
Weimar,28
volle,28
gelei,28
Henrik,28
gevang,28
sukses,28
ruik,28
Marv,28
Berlyn,28
verstand,28
