word,count
통해,801
모두들,801
알죠,801
진짜로,801
바보,799
목숨을,799
보여요,798
사실은,798
많아,798
너에게,796
꿈을,795
아기,794
필,791
떨어져,791
있을거야,791
잔,791
차에,791
보러,789
주는,789
기억,787
아니지만,786
가족,785
먹을,785
가까이,785
어이,785
병원에,784
만들,781
데릭,780
거잖아,779
점점,779
딸,778
크게,778
다시는,778
그래야,778
말이다,777
것에,776
있을까요,776
물론이죠,774
밥,774
아니었어,774
아가씨,771
현재,770
죽인,769
걘,766
애를,765
말하면,765
알지만,761
제발요,760
잡고,759
오면,759
셋,758
만드는,758
했다,755
그치만,754
경찰,754
이야기를,754
학교,752
필요는,752
당연하지,752
잭,751
지금까지,751
칼,749
오빠,749
찾았어,747
뿐이에요,746
얼마,746
마이크,745
아세요,745
죽게,745
보이지,743
먹어,743
정말요,743
죽는,742
못해요,742
특히,740
거라,738
있겠지,737
잠시만,736
사실을,736
열어,736
해줘,736
같습니다,735
그랬지,735
자주,735
놈을,734
있거든,734
오지,734
쉽게,733
아들을,733
주지,731
계획이,731
그리,728
만난,728
들어요,728
그것,728
얼굴을,728
운이,728
또한,726
드디어,726
달,726
방에,726
무엇을,725
진실을,725
죽어,724
일찍,723
박사님,722
나서,722
저거,722
절대로,722
위험한,721
영화,721
열심히,720
되어,720
다신,719
가만히,719
약간,719
애들이,718
그렇다고,718
보이는,718
새로,718
하는거야,717
누굴,716
정보를,715
마음이,715
봐봐,715
와요,714
환자는,714
그거야,713
결혼,712
때는,711
했습니다,711
하나가,710
의사,710
아내가,710
마라,709
오랫동안,709
사진,709
꺼져,708
정도로,707
저리,707
뛰어,707
일이죠,706
맞죠,706
사이에,705
떠날,704
줄게,704
경찰이,703
딸이,703
사랑해요,702
한다면,702
했다고,700
군,700
됐다,698
사람의,698
모습을,698
말입니다,697
최선을,696
여기요,696
가능한,696
된다고,695
없지만,695
아니예요,693
남자는,693
얘기가,692
상황을,692
모두를,692
같네,691
피를,691
내려,691
아기를,691
네게,690
글쎄요,690
완벽한,690
거짓말을,690
위대한,689
제이,686
굉장히,686
있으니,685
샘,685
인생을,684
방법은,684
가족이,683
누군가가,683
자꾸,682
받은,680
대단한,679
기회가,679
했고,679
때도,678
의사가,678
노래,678
했을,676
옷을,676
일하는,675
쓰고,675
저희는,675
갔어,675
비켜,674
자고,673
열,673
얘기해,673
커피,673
와우,673
얼굴,672
곳이,671
원하지,670
보내,670
상관,669
숨을,668
만들고,667
된다,665
겨우,665
사람도,665
밖에서,665
심지어,665
한다는,663
아이고,663
만약에,662
없으면,659
곳을,658
뭐예요,658
길,657
병원,657
짐,656
우리한테,655
만한,655
아들이,655
시간은,655
놈은,655
해야지,654
못한,654
만날,653
같지,653
생각하고,652
보통,652
클레어,652
도와줘요,652
여러,651
될까,651
움직여,650
있었다,650
써,650
눈이,649
자신이,648
문제를,647
있는거야,647
나오는,646
셜록,646
말씀,644
자식,644
사건,643
도와줄,642
몰라도,642
나갈,642
그렇군요,642
도움을,641
설마,641
친구들,641
가져와,639
아니오,639
봤지,639
자는,639
남편이,638
앉아서,638
같군,638
소리를,637
실례합니다,637
했잖아요,635
방,634
도울,634
진정한,634
당신한테,633
사랑을,633
알았다,632
불러,631
피터,631
눈에,631
좋아해,627
원해,626
프랭크,625
갑시다,624
죽이고,623
곳으로,623
척,621
이쪽으로,621
나온,620
세상에서,619
죽었어요,619
일로,619
있습니까,618
심장을,618
왔다,617
어딜,617
화가,616
딸을,616
과장님,616
팀,615
알았죠,615
있도록,615
흠,615
맥스,615
덕분에,614
속에서,613
그것을,613
모르겠네요,613
기억이,612
마음,612
딴,611
예쁜,611
들어와,611
버크,610
이리와,610
짓,610
때마다,610
산,609
보다,609
최대한,609
분이,608
할까요,608
안에서,608
됐지,607
이곳에,606
아버지를,605
갈게요,605
똑같은,603
순간,603
당신들,603
있네요,602
클라라,601
어차피,601
짓이야,601
쓰는,600
하네,600
걸요,600
소리가,599
생긴,599
타,597
쟤,596
없잖아요,596
조,596
고통을,595
때문이야,595
일어난,595
잘못된,593
거니,593
않는다,592
것보다,590
얘기는,590
쓴,590
하나만,590
비밀,589
모르지만,589
피가,589
몸이,589
너네,589
오케이,588
달라,587
이후로,587
그날,586
친구를,586
않게,586
문제야,586
압니다,585
해줄,585
이유를,584
했는지,584
음악,584
나면,584
심장,584
몸을,583
남자를,582
찾아야,582
는,581
미안하지만,581
모든걸,581
감옥에,580
들려,580
막을,580
수술이,577
너희들,577
아니잖아요,576
심장이,576
하라고,576
잊지,576
새끼,574
있겠어,574
그치,574
없어서,574
나가서,573
명,573
왔습니다,573
할머니,572
나은,572
